campaign_id,benchmark,technique,executions,corpus_size,time_to_exec_limit,time_based_corpus_size,total_runtime
ant-zeugma-none-results-0,ant,zeugma-none,5622,0,50.136,0,50.136
closure-bedivfuzz-structure-results-0,closure,bedivfuzz,908,0,0.0,0,54.0
maven-zeugma-none-results-0,maven,zeugma-none,92,0,44.731,0,44.731
ant-zeugma-linked-results-0,ant,zeugma,5564,0,0.0,0,50.552
chocopy-ei-results-0,chocopy,ei,26675,0,0.0,0,57.0
chocopy-zest-results-0,chocopy,zest,25940,0,0.0,0,57.0
gson-bedivfuzz-structure-results-0,gson,bedivfuzz,2346,0,0.0,0,58.0
jackson-zest-results-0,jackson,zest,2712,0,0.0,0,58.0
closure-ei-results-0,closure,ei,999,0,0.0,0,56.0
maven-zest-mini-results-0,maven,zest-mini,1901,0,0.0,0,57.0
ant-bedivfuzz-structure-results-0,ant,bedivfuzz,18514,0,0.0,0,57.0
chocopy-zeugma-linked-results-0,chocopy,zeugma,70003,0,0.0,0,50.096
maven-random-results-0,maven,random,2563,0,0.0,0,56.0
ant-zest-results-0,ant,zest,23066,0,0.0,0,56.0
rhino-zeugma-linked-results-0,rhino,zeugma,11,0,0.0,0,54.698
closure-zeugma-linked-results-0,closure,zeugma,24,0,0.0,0,46.112
closure-zeugma-none-results-0,closure,zeugma-none,71,0,46.17,0,46.17
chocopy-random-results-0,chocopy,random,58002,0,0.0,0,57.0
jackson-zest-mini-results-0,jackson,zest-mini,6178,0,0.0,0,58.0
chocopy-zeugma-none-results-0,chocopy,zeugma-none,78212,0,20.084,0,50.113
chocopy-zest-mini-results-0,chocopy,zest-mini,31560,0,0.0,0,57.0
gson-random-results-0,gson,random,1517,0,0.0,0,58.0
gson-zeugma-linked-results-0,gson,zeugma,336,0,0.0,0,56.171
ant-ei-results-0,ant,ei,13806,0,0.0,0,57.0
closure-zest-mini-results-0,closure,zest-mini,1098,0,0.0,0,56.0
jackson-zeugma-none-results-0,jackson,zeugma-none,675,0,51.251,0,51.251
gson-zest-mini-results-0,gson,zest-mini,1419,0,0.0,0,58.0
closure-random-results-0,closure,random,1140,0,0.0,0,56.0
jackson-ei-results-0,jackson,ei,1194,0,0.0,0,57.0
rhino-zest-mini-results-0,rhino,zest-mini,2409,0,0.0,0,58.0
jackson-bedivfuzz-structure-results-0,jackson,bedivfuzz,1484,0,0.0,0,58.0
maven-zest-results-0,maven,zest,2017,0,0.0,0,56.0
rhino-zeugma-none-results-0,rhino,zeugma-none,47,0,47.976,0,47.976
rhino-ei-results-0,rhino,ei,3378,0,0.0,0,58.0
chocopy-bedivfuzz-structure-results-0,chocopy,bedivfuzz,98464,0,0.0,0,56.0
ant-zest-mini-results-0,ant,zest-mini,22940,0,0.0,0,57.0
maven-zeugma-linked-results-0,maven,zeugma,67,0,0.0,0,26.04
ant-random-results-0,ant,random,24835,0,0.0,0,57.0
rhino-zest-results-0,rhino,zest,5296,0,0.0,0,57.0
maven-bedivfuzz-structure-results-0,maven,bedivfuzz,8881,0,0.0,0,52.0
gson-zest-results-0,gson,zest,1652,0,0.0,0,58.0
jackson-random-results-0,jackson,random,6638,0,0.0,0,58.0
rhino-random-results-0,rhino,random,8989,0,0.0,0,58.0
jackson-zeugma-linked-results-0,jackson,zeugma,575,0,0.0,0,52.685
closure-zest-results-0,closure,zest,947,0,0.0,0,55.0
gson-ei-results-0,gson,ei,2771,0,0.0,0,58.0
rhino-bedivfuzz-structure-results-0,rhino,bedivfuzz,9971,0,0.0,0,58.0
maven-ei-results-0,maven,ei,2278,0,0.0,0,57.0
gson-zeugma-none-results-0,gson,zeugma-none,96,0,55.612,0,55.612
