campaign_id,subject,executions,execution_based_corpus_size,time_to_execution_limit,time_based_corpus_size,normalized_execution_time
ant-zeugma-none-results-0,ant,5622,36,40.13,36,0.0
closure-bedivfuzz-structure-results-0,closure,908,8,4.0,44,0.0
maven-zeugma-none-results-0,maven,92,11,33.946,12,0.0
ant-zeugma-linked-results-0,ant,5564,48,50.552,48,50.136
chocopy-ei-results-0,chocopy,26675,337,54.0,334,0.0
chocopy-zest-results-0,chocopy,25940,339,57.0,339,0.0
gson-bedivfuzz-structure-results-0,gson,2346,81,3.0,88,0.0
jackson-zest-results-0,jackson,2712,75,23.0,75,0.0
closure-ei-results-0,closure,999,9,3.0,7,0.0
maven-zest-mini-results-0,maven,1901,5,0.0,0,0.0
ant-bedivfuzz-structure-results-0,ant,18514,0,21.0,38,0.0
chocopy-zeugma-linked-results-0,chocopy,70003,111,20.084,111,20.084
maven-random-results-0,maven,2563,18,2.0,18,0.0
ant-zest-results-0,ant,23066,26,24.0,26,0.0
rhino-zeugma-linked-results-0,rhino,11,3,54.698,3,47.976
closure-zeugma-linked-results-0,closure,24,12,46.112,12,46.17
closure-zeugma-none-results-0,closure,71,17,20.588,18,0.0
chocopy-random-results-0,chocopy,58002,224,27.0,224,0.0
jackson-zest-mini-results-0,jackson,6178,59,3.0,57,0.0
chocopy-zeugma-none-results-0,chocopy,78212,107,20.084,107,0.0
chocopy-zest-mini-results-0,chocopy,31560,215,46.0,215,0.0
gson-random-results-0,gson,1517,39,8.0,38,0.0
gson-zeugma-linked-results-0,gson,336,0,0.01,1,55.612
ant-ei-results-0,ant,13806,26,23.0,26,0.0
closure-zest-mini-results-0,closure,1098,18,4.0,21,0.0
jackson-zeugma-none-results-0,jackson,675,31,41.241,31,0.0
gson-zest-mini-results-0,gson,1419,7,1.0,38,0.0
closure-random-results-0,closure,1140,14,4.0,13,0.0
jackson-ei-results-0,jackson,1194,68,2.0,67,0.0
rhino-zest-mini-results-0,rhino,2409,6,1.0,16,0.0
jackson-bedivfuzz-structure-results-0,jackson,1484,565,36.0,190,0.0
maven-zest-results-0,maven,2017,13,0.0,0,0.0
rhino-zeugma-none-results-0,rhino,47,0,0.01,1,0.0
rhino-ei-results-0,rhino,3378,1,0.0,0,0.0
chocopy-bedivfuzz-structure-results-0,chocopy,98464,404,16.0,244,0.0
ant-zest-mini-results-0,ant,22940,21,24.0,21,0.0
maven-zeugma-linked-results-0,maven,67,10,26.04,10,44.731
ant-random-results-0,ant,24835,20,21.0,20,0.0
rhino-zest-results-0,rhino,5296,6,0.0,0,0.0
maven-bedivfuzz-structure-results-0,maven,8881,0,0.0,0,0.0
gson-zest-results-0,gson,1652,29,0.0,0,0.0
jackson-random-results-0,jackson,6638,67,2.0,67,0.0
rhino-random-results-0,rhino,8989,1,0.0,0,0.0
jackson-zeugma-linked-results-0,jackson,575,33,52.685,34,51.251
closure-zest-results-0,closure,947,12,3.0,10,0.0
gson-ei-results-0,gson,2771,28,2.0,38,0.0
rhino-bedivfuzz-structure-results-0,rhino,9971,0,0.0,0,0.0
maven-ei-results-0,maven,2278,13,1.0,13,0.0
gson-zeugma-none-results-0,gson,96,15,55.612,15,0.0
