subject,fuzzer,campaign_id,trial_bound_coverage,time_bound_coverage,normalized_coverage
rhino,Zest-Mini,rhino-zest-mini-results-18,3436.0,3503.0,870.0
ant,BeDivFuzz,ant-bedivfuzz-structure-results-0,888.0,888.0,59.0
gson,BeDivFuzz,gson-bedivfuzz-structure-results-16,321.0,321.0,299.0
gson,Zest-Mini,gson-zest-mini-results-17,321.0,321.0,299.0
maven,EI,maven-ei-results-11,1115.0,1136.0,255.0
jackson,Zeugma,jackson-zeugma-linked-results-15,1122.0,1122.0,1122.0
jackson,Zest-Mini,jackson-zest-mini-results-15,1121.0,1121.0,1048.0
gson,Zeugma-None,gson-zeugma-none-results-results-2,0.0,0.0,0.0
jackson,Random,jackson-random-results-6,1113.0,1113.0,1057.0
jackson,Zeugma-None,jackson-zeugma-none-results-results-5,0.0,0.0,0.0
gson,BeDivFuzz,gson-bedivfuzz-structure-results-11,321.0,321.0,245.0
jackson,EI,jackson-ei-results-5,1121.0,1121.0,1005.0
chocopy,EI,chocopy-ei-results-4,899.0,899.0,410.0
maven,Random,maven-random-results-11,588.0,654.0,255.0
jackson,Random,jackson-random-results-2,1112.0,1113.0,992.0
jackson,Random,jackson-random-results-5,1112.0,1113.0,843.0
jackson,Zest,jackson-zest-results-13,1121.0,1121.0,1013.0
chocopy,EI,chocopy-ei-results-15,899.0,899.0,324.0
ant,EI,ant-ei-results-1,921.0,921.0,59.0
maven,Zeugma,maven-zeugma-linked-results-11,1138.0,1138.0,1138.0
maven,Zest,maven-zest-results-5,1077.0,1138.0,213.0
ant,EI,ant-ei-results-0,0.0,0.0,0.0
maven,EI,maven-ei-results-19,1094.0,1135.0,257.0
maven,Zest-Mini,maven-zest-mini-results-12,1007.0,1138.0,249.0
rhino,Zeugma,rhino-zeugma-linked-results-7,3789.0,3840.0,3828.0
closure,Zeugma,closure-zeugma-linked-results-11,12561.0,13411.0,12654.0
ant,EI,ant-ei-results-2,922.0,922.0,59.0
rhino,Random,rhino-random-results-1,3179.0,3228.0,146.0
jackson,Random,jackson-random-results-1,1113.0,1113.0,1051.0
jackson,Zest,jackson-zest-results-7,1121.0,1121.0,843.0
jackson,Zeugma-None,jackson-zeugma-none-results-results-3,0.0,0.0,0.0
chocopy,Zeugma,chocopy-zeugma-linked-results-9,876.0,877.0,876.0
gson,Zeugma-None,gson-zeugma-none-results-results-7,0.0,0.0,0.0
closure,Zeugma-None,closure-zeugma-none-results-results-5,0.0,0.0,0.0
ant,BeDivFuzz,ant-bedivfuzz-structure-results-14,882.0,889.0,59.0
