campaign_id,subject,executions,execution_based_corpus_size,time_to_execution_limit,time_based_corpus_size,normalized_execution_time
rhino-zest-mini-results-18,rhino,13205927,1326,43828.0,1326,0.0
ant-bedivfuzz-structure-results-0,ant,2581160,336863,38679.0,568,0.0
gson-bedivfuzz-structure-results-16,gson,31874985,1355407,38719.0,284,0.0
gson-zest-mini-results-17,gson,71551396,84,18529.0,84,0.0
maven-ei-results-11,maven,22809902,776,21719.0,776,0.0
jackson-zeugma-linked-results-15,jackson,52662735,46,5144.514,46,78924.1476
jackson-zest-mini-results-15,jackson,39819189,160,6791.0,160,0.0
gson-zeugma-none-results-results-2,gson,85944137,35,14655.219,35,0.0
jackson-random-results-6,jackson,53551787,114,4538.0,114,0.0
jackson-zeugma-none-results-results-5,jackson,49147933,41,5317.508,41,0.0
gson-bedivfuzz-structure-results-11,gson,45821819,1660506,26389.0,280,0.0
jackson-ei-results-5,jackson,27868219,136,11817.0,136,0.0
chocopy-ei-results-4,chocopy,53047377,711,55682.0,711,0.0
maven-random-results-11,maven,96487872,152,5349.0,152,0.0
jackson-random-results-2,jackson,57745594,113,4328.0,113,0.0
jackson-random-results-5,jackson,58321447,127,4535.0,127,0.0
jackson-zest-results-13,jackson,53582546,150,5725.0,150,0.0
chocopy-ei-results-15,chocopy,69967171,666,41780.0,666,0.0
ant-ei-results-1,ant,2014742,518,52823.0,518,0.0
maven-zeugma-linked-results-11,maven,18952082,404,27192.983,404,86419.83855000001
maven-zest-results-5,maven,53894660,717,8966.0,717,0.0
ant-ei-results-0,ant,1872295,521,56341.0,521,0.0
maven-ei-results-19,maven,21430239,769,22610.0,769,0.0
maven-zest-mini-results-12,maven,60596772,639,7709.0,639,0.0
rhino-zeugma-linked-results-7,rhino,14601080,561,40642.557,561,75998.73705
closure-zeugma-linked-results-11,closure,2489353,1117,19075.66,1117,23389.6133
ant-ei-results-2,ant,1999707,548,52716.0,548,0.0
rhino-random-results-1,rhino,18423483,901,31175.0,901,0.0
jackson-random-results-1,jackson,57473762,111,4307.0,111,0.0
jackson-zest-results-7,jackson,47143147,141,5908.0,141,0.0
jackson-zeugma-none-results-results-3,jackson,47809718,47,5447.191,47,0.0
chocopy-zeugma-linked-results-9,chocopy,108459147,180,27148.498,180,29446.14445
gson-zeugma-none-results-results-7,gson,76239518,33,16081.804,33,0.0
closure-zeugma-none-results-results-5,closure,3361338,903,13969.718,903,0.0
ant-bedivfuzz-structure-results-14,ant,1928058,376471,51529.0,682,0.0
ant-zeugma-linked-results-2,ant,1863553,158,57105.283,158,57158.68315
chocopy-zeugma-none-results-results-14,chocopy,198341399,159,14871.147,159,0.0
closure-zest-results-9,closure,1029148,3940,47388.0,3940,0.0
